Created-Date,Tweet,Sentiment
7/23/2021 5:58,محبتون يا نفرتون ڪنهن ٻئي جي پٺيءَ ٺپيرڻ تي يا زوريءَ هٿيار جي زور تي نه ڪري سگھبيون آهن. ,
7/23/2021 4:47,سائين مدد علي سنڌيءَ سان ڪچھري ڪرڻ کان پوءِ احساس ٿيندو آهي تہ گودڙي وڏي هجي ها جنھن  دان طور مليل علم ڀرجي تہ سگه… ,
7/23/2021 4:44,نينھن جو خمار چڙھيو، محبوب پرکجي ويو. ,
7/22/2021 18:14,رب بہ سڃاڻي سڱ ڏيندو آ. ,
7/22/2021 17:32,بلڪل ائين ئي.. سبت جي ابت ,
7/22/2021 17:26,پوءِ سائين نوٽن واري ٽيپ يا ننھن لالي. مسين طرح ڳنڍبي هئي. پر وڏو نقصان اهو ٿيندو هئو جتي ٽيپ ڳنڍبي هئي اتي گهاري ل… ,
7/22/2021 17:16,واھ... صفا مست پيارا  ,
7/22/2021 16:48,بلڪل ائين ئي آهي.. ️ ,
7/22/2021 16:31,پيارا فھد سائين. خير مبارڪون. اوهان کي جام ساريون مبارڪون هجن. شل سدا سرها رهو مٺا ️ ,
7/22/2021 16:18,ڳالهہ ٿيندي آهي ڏاهپ جي، لاڳاپن جي.. سي جيستائين انسان آهي تيستائين رهندا. باقي آهن علامتون پيارا.. ,
